id,title,company,location,experience,description,deadline,url,scraped_at
11,Graphics Designer,Creative Arts,Jimma,2 years,"Bachelor's Degree in Information Technology, Marketing, HMIS (Health Information Management System) or with related field of study with relevant work experience
Duties and Responsibilities
- Develop and maintain the visual brand identity for all digital health programs and initiatives.
- Design high-quality infographics, digital brochures, and posters to communicate public health messages and medical
- Develop branding materials to support organizational communication and awareness campaigns
- Create engaging digital content for websites, social media, and internal communications",1 day left 2026-05-052026-05-02T10:10:30.006615+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f5c0d58b696b6876f62d5f?save=true,2026-05-03 12:11:15
12,Associate Professor,Education,Addis Ababa,20 years,PhD in Development Studies or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T07:28:32.942978+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec6cad3f208563defde9af?save=true,2026-05-03 12:11:15
13,Electrical Engineer,Engineering,Ambo,2 years - 4 years,የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ በኤሌክትሪካል ኢንጅነሪንግ ወይም በተመሳሳይ የትምህርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር,1 day left 2026-05-052026-04-24T13:40:50.305821+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb728de507c55efd70a3f8?save=true,2026-05-03 12:11:15
14,Motorist (Liaison Officer),Transportation & Logistics,Addis Ababa,2 years,"10ኛ ክፍል ወይም ከዛ በላይ ያጠናቀቀ እና የታደሰ የሞተረኛ መንጃ ፍቃድ ያለው አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- ሰነዶች፣ ፓርሴሎች ወይም እቃዎችን በጊዜ ማድረስ
 - የትራፊክ ህጎችን እና የደህንነት መመሪያዎችን መከተል 
- የሞተሩን የቴክኒክ ሁኔታ እና የንጽህና ሁኔታ ማረጋገጥ
- የሞተሩን ነዳጅ፣ ዘይት እና ጎማ ሁኔታ መከታተል 
- የመድረሻ ማረጋገጫ (delivery confirmation) መረጃ መሰብሰብ 
- ከደንበኞች እና ከሥራ ባልደረቦች ጋር መልካም የሥራ ግንኙነት መፍጠር
- የተላኩ እቃዎችን ደህንነት መጠበቅ 
- የተሽከርካሪ ብልሽትን ወይም ጉዳትን ለሚመለከተው አካል ሪፖርት ማድረግ
- ከመንግስትና ከግል ድርጅቶች ጋር ያሉ ጉዳዮችን በቅርበት መከታተልና ማስፈጸም",1 day left 2026-05-052026-04-27T12:59:09.136324+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef543024fe28401d1876c0?save=true,2026-05-03 12:11:15
15,Assistant Professor,Education,Addis Ababa,14 years,LL.M in International Organizations/ Constitutional Law or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T09:33:32.735745+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec89ef02da3511dff27b6e?save=true,2026-05-03 12:11:15
16,HR Director,Business,Jimma,5 years,"Bachelor's Degree or Master's Degree in Human Resource, Business Administration and Management or with related field of study with relevant work experience
Duties and Responsibilities:
- Develop and implement HR strategies aligned with the organization’s overall objectives
- Oversee recruitment, selection, onboarding, and retention of qualified employees
- Lead training, capacity building, and employee development programs
- Ensure compliance with labor laws, regulations, and internal policies
- Develop and maintain HR policies, procedures, and systems",1 day left 2026-05-052026-05-02T09:35:33.161044+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f5becf9199d960e40c79aa?save=true,2026-05-03 12:11:15
17,Senior Mechanical  Engineer (HVAC),Engineering,Addis Ababa,6 years,"Bachelor's Degree in Mechanical Engineering or with related field of study with relevant work experience
Duties and Responsibilities
- Design HVAC and firefighting systems in accordance with applicable standards, codes, and project specifications.
- Prepare detailed mechanical drawings, layouts, and technical documentation using AutoCAD or similar design software.
- Review and interpret engineering drawings, specifications, and Bills of Quantities (BOQs).
- Perform accurate quantity take-offs and site measurements.
- Develop technical specifications and scopes of work for mechanical systems.
- Prepare cost estimates, cost breakdowns, and price quotations for mechanical works.",1 day left 2026-05-052026-04-29T09:34:50.303761+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/mRbtvanBsh2hvOUL?save=true,2026-05-03 12:11:15
18,Sanitary Engineer,Engineering,Ambo,2 years - 4 years,የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ በሳኒተሪያል ኢንጅነሪንግ፣ ሃይድሮሊክ ኢንጅነሪንግ ወይም በተመሳሳይ የትምህርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር,1 day left 2026-05-052026-04-24T14:13:20.359431+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb7525d6e6b96494c01d24?save=true,2026-05-03 12:11:15
19,Associate Professor,Education,Addis Ababa,15 years,PhD in Sociology with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T09:09:33.356048+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec840f81568008e3475c80?save=true,2026-05-03 12:11:15
20,"General Manager, Construction Project Office",Engineering,Ambo,6 years - 8 years,የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ በሲቪል ምህንድስና፣ ኮንስትራክሽን ቴክኖሎጂ፣ አርኬቴክቸር ወይም በተመሳሳይ የትምህርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር,1 day left 2026-05-052026-04-24T12:56:38.228125+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb6663047af54cb64adacb?save=true,2026-05-03 12:11:15
21,Marketing Director,Business,Jimma,5 years,"Bachelor's Degree or Master's Degree in Marketing Management or with related field of study with relevant work experience
Duties and Responsibilities
- Develop and implement overall marketing and branding strategies aligned with business goals
- Lead market research, competitor analysis, and customer insights to support strategic decisions
- Oversee development and execution of integrated marketing campaigns
- Manage brand positioning, corporate identity, and brand communication strategies
- Identify new market opportunities and support business growth initiatives
- Manage marketing budgets and ensure efficient allocation of resources",1 day left 2026-05-052026-05-02T09:48:50.134423+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f5be3b2667c960e40715a7?save=true,2026-05-03 12:11:15
22,Assistant Professor,Education,Addis Ababa,16 years,PhD in Human Geography specialized in Agricultural Geography: Indigenous Knowledge and Local Innovation or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T08:23:51.060468+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec798877e71d73d5d77d3a?save=true,2026-05-03 12:11:15
23,Associate Professor,Education,Addis Ababa,10 years,"PhD in Journalism and Communication, Media and Communication Studies, Media Sociology, Media and Gender or with related field of study with relevant work experience",1 day left 2026-05-052026-04-25T08:39:47.699676+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec7d4cac2f9779cb72f694?save=true,2026-05-03 12:11:15
24,Junior Accountant,Finance,Addis Ababa,1 years - 3 years,"የመጀመሪያ ዲግሪ በአካውንቲንግ ወይም በተመሳሳይ የትምህርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- የሂሳብ ሰነዶችን በተገቢ መልኩ መያዝና ማዘጋጀት
- የገቢና ወጪ መዝገቦችን ማስተካከልና መከታተል
- የአካውንቲንግ ሶፍትዌሮችን (Peachtree, Excel) መጠቀም
- የወርሃዊ፣ የሩብ ዓመት እና የዓመታዊ የፋይናንስ ሪፖርቶችን ማዘጋጀት
- ከከፍተኛ ሂሳብ ባለሙያዎች ጋር የሂሳብ ሥራዎችን በጋራ መስራት
- ሌሎች ከስራው ጋር ተያያዥ የሆኑ ተግባራትን መፈጸም",1 day left 2026-05-052026-04-20T12:30:04.526093+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69e616b039423d43e2887f92?save=true,2026-05-03 12:11:15
25,Enterprise Training Manager,Business,Addis Ababa,7 years - 10 years,"Master’s Degree (MA) in Education, Business Administration, Human Resource Management, or related fields with relevant work experience. 
Duties & Responsibilities:
- Lead the overall enterprise training strategy aligned with business growth and enterprise needs.
- Build and maintain strong relationships with training providers, consulting firms, and independent trainers.
-Develop and manage a database of qualified trainers, consultants, and service providers.
- Manage the full lifecycle of training provider engagement, including identification, onboarding, coordination, and performance management.
- Lead curriculum development, review, and standardization to ensure quality and consistency.",1 day left 2026-05-052026-04-28T12:53:22.43865+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f0a7fdcfba97343c2a4f95?save=true,2026-05-03 12:11:15
26,Nanny,Low and Medium Skilled Worker,Addis Ababa,0 years,"10ኛ/12ኛ ክፍል ያጠናቀቀች እና በህጻናት አያያዝ እና ክብካቤ /ሞግዚት/ ስልጠና ሰርተፊኬት ያላት አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- ህጻኑ በማንኛውም ጊዜ ደህንነቱ በተጠበቀ ሁኔታ ላይ መሆኑን ማረጋገጥና ከአደጋ መጠበቅ
- የህጻኑን የግል ንጽህና መጠበቅ
- ከህጻኑ እድሜ ጋር የሚመጣጠኑ አዝናኝ እና አስተማሪ ጨዋታዎችን ማጫወት
- የህጻኑን መጫወቻዎች፣ የመመገቢያ ቁሳቁሶች እና መኝታ ክፍል በንጽህና መያዝ
- ስለ ህጻኑ ውሎ፣ ጤንነትና እድገት ለወላጆች በየቀኑ መረጃ መስጠት
- የህጻኑን የጤና ሁኔታ  በንቃት መከታተል እና ለወላጆች ወዲያውኑ ማሳወቅ",2 days left 2026-05-062026-04-24T14:32:57.552552+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb7ec266fd00710d421df4?save=true,2026-05-03 12:11:15
27,Driver (Liaison Officer),Transportation & Logistics,Addis Ababa,2 years,"10ኛ ክፍል ወይም ከዛ በላይ ያጠናቀቀ እና ህዝብ 1 የታደሰ መንጃ ፍቃድ ያለው አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- ኃላፊዎችን ወደ ስራ፣ ስብሰባ እና ሌሎች መዳረሻዎች በጊዜ ማጓጓዝ 
- የመንገድ ህጎችን እና የደህንነት መመሪያዎችን በጥንቃቄ መከተል
የተሽከርካሪን ንጽህና እና ደህንነት መጠበቅ
- የተሽከርካሪውን ነዳጅ፣ ዘይት እና ሌሎች ቴክኒክ ሁኔታዎችን መከታተል 
- የተሽከርካሪ ብልሽትን ወይም ጉዳትን በአፋጣኝ ሪፖርት ማድረግ
- ሰነዶችን ወይም መመሪያዎችን በአግባቡ ማድረስ
- የመልዕክቶችን ሚስጥራዊነትን መጠበቅ 
- ከሥራ ኃላፊዎች ጋር መልካም የሥራ ግንኙነት መፍጠር
- ከመንግስትና ከግል ድርጅቶች ጋር ያሉ ጉዳዮችን በቅርበት መከታተልና ማስፈጸም",2 days left 2026-05-062026-04-27T11:57:14.779493+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef2e35ad00e47843113951?save=true,2026-05-03 12:11:15
28,Senior Store Keeper,Business,Addis Ababa,5 years,"Diploma or Bachelor’s Degree in Supply Chain Management, Accounting, Management or with related field of study with relevant work experience
Duties and Responsibilities
- Oversee and manage all store operations, including receiving, storing, and issuing materials
- Maintain accurate inventory records and ensure stock levels are adequate 
- Conduct regular stock checks, audits, and reconciliations
- Ensure proper documentation of all incoming and outgoing goods
- Supervise and train storekeeping staff
- Implement and maintain inventory control procedures
- Coordinate with procurement and other departments for timely supply of materials",2 days left 2026-05-062026-04-27T12:15:36.954765+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ef2a850c3cf571ab0b0eb3?save=true,2026-05-03 12:11:15
29,Customer Service Officer and Marketer,Business,Addis Ababa,0 years - 1 years,"Bachelor's Degree in any field of study with relevant work experience.
Duties and Responsibilities
- Give information to clients on the phone and in person
- Answer client questions clearly
- Follow up with clients
- Do office paperwork and keep records organized
- Create videos and share information on TikTok
- Go live on TikTok to give information and help viewer",2 days left 2026-05-062026-04-13T06:45:43.953039+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69daa622b29c1554d7030519?save=true,2026-05-03 12:11:15
30,Marketer and Consultant,Business,Addis Ababa,0 years - 1 years,"Bachelor's Degree in any field of study with relevant work experience
Required Gender: Female Only
Duties & Responsibilites:
- Acquiring and managing new clients
- Providing information and guidance to clients
- Handling client relationships effectively
- Assisting with paperwork and documentation
Required Skills:
- Must speak fluent English
- Must have computer skill",2 days left 2026-05-062025-03-27T14:14:02.527011+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/67e551b986f6007c01f719bf?save=true,2026-05-03 12:11:15
31,Receptionist,Business,Addis Ababa,2 years - 3 years,"Diploma or Bachelor's Degree in Hotel and Tourism or with related field of study with relevant work experience
Duties and Responsibilities
- Act as the first point of contact for visitors, clients, and partners, ensuring a warm and professional welcome.
- Efficiently manage incoming phone calls, emails, and general inquiries, directing them to the appropriate department or team member.
- Assist with daily clerical duties, including filing, data entry, document preparation, and office supply inventory management.
- Coordinate appointments, manage meeting room bookings, and maintain office calendars",2 days left 2026-05-062026-04-29T08:43:18.770913+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/paKVL7QRrSpq6hra?save=true,2026-05-03 12:11:15
32,Senior Structural Engineer,Engineering,Addis Ababa,0 years - 4 years,"የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ ወይም ፒኤችዲ በስትራክቸራል ኢንጅነሪንግ፣ ብሪጅ ኢንጅነሪንግ፣ ሲቪል ምህንድስና፣ ኮንስትራክሽን ቴክኖሎጂ እና ማኔጅመንት ወይም በተመሳሳይ የትምሀርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- የህንፃ እና የተለያዩ መዋቅሮችን ዲዛይን ማዘጋጀትና እንደ አስፈላጊነቱ ማሻሻል
- የግንባታ ስዕሎችን (Drawings) በጥራት ማዘጋጀት፣ መከለስ እና ማጽደቅ
- የቴክኒክ ጥናቶችን ማካሄድ እና ወቅታዊ የሥራ አፈጻጸም ሪፖርቶችን ማቅረብ
- ከአርኪቴክቶች፣ ከኮንትራክተሮች እና ከሌሎች ባለሙያዎች ጋር በቅንጅት መስራት
- የግንባታ ሂደቱን በአካል ተገኝቶ መቆጣጠር እና የጥራት ደረጃውን ማረጋገጥ
- የግንባታ ደህንነት መመሪያዎችን እና የሙያ ስታንዳርዶችን በጥብቅ መከተል",3 days left 2026-05-072026-04-29T13:55:01.913696+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f20d2707efb0536a98021d?save=true,2026-05-03 12:11:15
33,Quantity Surveyor,Engineering,Addis Ababa,0 years - 2 years,"የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ በሲቪል ምህንድስና፣ ኮንስትራክሽን ቴክኖሎጂ እና ማኔጅመንት፣ ሰርቬይንግ ኢንጂነሪንግ ወይም በተመሳሳይ የትምሀርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- የፕሮጀክቱን በጀት በቅርብ መከታተል፣ አላስፈላጊ ወጪዎችን መቆጣጠርና የፋይናንስ አጠቃቀምን የሚገልጹ ወቅታዊ ሪፖርቶችን ማቅረብ
- ከመሐንዲሶች፣ ከአማካሪዎችና ከኮንትራክተሮች ጋር በቅንጅት በመሥራት የፕሮጀክቱ የፋይናንስና የቴክኒክ ጥራት እንዲጠበቅ ማድረግ
- ጥራቱን የጠበቀ የሥራ ዝርዝርና የመጠን መግለጫ (BOQ) ማዘጋጀትና ትክክለኛነቱን ማረጋገጥ
- የኮንትራት ሰነዶችን ማዘጋጀት እና መቆጣጠር
- የህግ እና የኮንትራት መመሪያዎችን መከተል
- ከኮንትራክተሮች የሚቀርቡ የክፍያ ጥያቄዎች መመርመር እና ማረጋገጥ",3 days left 2026-05-072026-04-30T06:40:34.672107+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f2f8fffc241b7a5594b684?save=true,2026-05-03 12:11:15
34,Vehicle Dispatch and Monitoring Staff II,Transportation & Logistics,Addis Ababa,0 years - 5 years,"ደረጃ 1/2/3/4 በማኔጅመንት፣ አውቶ መካኒክ ወይም በተመሳሳይ የትምሀርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
-  የተቋሙን የዕለት ተዕለት የተሽከርካሪ ስምሪት ዕቅድ ማዘጋጀት እና ተሽከርካሪዎች በተገቢው ሰዓትና ቦታ እንዲሰማሩ ማድረግ
- የተሽከርካሪዎችን የሥራ ሰዓት፣ የተጓዙበትን ርቀት (K.M) እና የነዳጅ ፍጆታን በየቀኑ መመዝገብና መቆጣጠር
- የጂ.ፒ.ኤስ (GPS) መከታተያ መሣሪያዎችን በመጠቀም የተሽከርካሪዎችን እንቅስቃሴ በቅርብ መከታተል እና ከተፈቀደላቸው መስመር ውጭ እንዳይወጡ መቆጣጠር
- የተሽከርካሪዎችን የጥገና እና የሰርቪስ ጊዜ በመከታተል በሰዓቱ ጥገና እንዲደረግላቸው ለሚመለከተው ክፍል ማሳወቅ",3 days left 2026-05-072026-04-30T13:01:18.662903+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f347bb8ee85438f115ca6c?save=true,2026-05-03 12:11:15
35,Assistant Surveyor,Engineering,Addis Ababa,0 years - 6 years,"6ኛ/8ኛ/10ኛ /12ኛ ክፍል ያጠናቀቀ/ቀች ወይም ደረጃ I በሰርቬይንግ ወይም በተመሳሳይ የትምሀርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- ከከፍተኛ ሰርቬየር ጋር በመተባበር የመሬት አቀማመጥ፣ የወሰን እና የግንባታ ልኬት ሥራዎችን ማከናወን
- የተለያዩ የልኬት መሣሪያዎችን  ለሥራ ዝግጁ ማድረግ፣ ማስተካከልና በትክክል ጥቅም ላይ ማዋል
- የመሬት ገጽታ ካርታዎችን  እና የሳይት ፕላኖችን በማዘጋጀት ሂደት ላይ የቴክኒክ ድጋፍ መስጠት
- በሥራ ቦታ ላይ የደህንነት መመሪያዎችን እና የጥንቃቄ ደንቦችን በአግባቡ መተግበር
- የመለኪያ ውጤቶችን ትክክለኛነት መረጋገጥ
- የቴክኒክ ሪፖርቶችን እና ሰነዶችን ማዘጋጀት",3 days left 2026-05-072026-04-30T07:00:36.982608+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f2fc51cac7630456a43c7d?save=true,2026-05-03 12:11:15
36,Senior Machinery Training Officer,Engineering,Addis Ababa,0 years - 4 years,"የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ ወይም ፒኤችዲ በሜካኒካል ኢንጅነሪንግ፣ አውቶሞቲቪ ቴክኖሎጂ  ወይም በተመሳሳይ የትምሀርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር
ዋና ዋና ኃላፊነቶች
- ለማሽነሪ ኦፕሬተሮች የሚሆኑ አጠቃላይ የሥልጠና ፍላጎቶችን መለየት፣ የሥልጠና ዕቅዶችን ማዘጋጀት እና ተግባራዊነታቸውን መከታተል
ለአዳዲስ ኦፕሬተሮች መሰረታዊ ስልጠና መስጠት
- ስለ ማሽነሪዎች የዕለት ተዕለት አያያዝ፣ የጥገና ሥርዓት እና የአሠራር ደህንነት መመሪያዎች ዝርዝር ትምህርት መስጠት
- የስልጠና ውጤትን መገምገም እና ሪፖርት ማዘጋጀት
- ከኦፕሬሽን እና ከጥገና ቡድኖች ጋር በጋራ መስራት
- የሥልጠናውን ውጤታማነት በመገምገም ወቅታዊ የሥራ አፈፃፀም ሪፖርቶችን ለሥራ አመራሩ ማቅረብ",3 days left 2026-05-072026-04-30T12:16:58.357946+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f347bb3eb8d338f0a527f8?save=true,2026-05-03 12:11:15
37,Water Supply Engineer,Engineering,Bahir Dar,10 years,"Master's Degree in Water Supply Engineering, Sanitary Engineering, or with related field of study with relevant work experience",3 days left 2026-05-072026-04-29T10:47:27.032788+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f1e123bd6f287a3001d722?save=true,2026-05-03 12:11:15
38,Project Manager (Road)(Vacancy Code- 001/2026),Engineering,Addis Ababa,7 years,"Master’s degree or a Bachelor’s degree in Civil Engineering, or a related field of study, with relevant work experience.
Duties & Responsibilities:
- Ensuring that each stage of the project is being executed on time and within budget.
- Direct and supervise the development of the project.
- Selecting and leading the project team.
- Ensure compliance with standards set by the organization for program / project management.
- Organize logistics and procurement for the project.",3 days left 2026-05-072026-04-27T11:55:18.561952+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/boG3EXhE7P7PA6qd?save=true,2026-05-03 12:11:15
39,Accountant,Finance,Addis Ababa,2 years,"Bachelor's Degree in Accounting or with related field of study with relevant work experience
Duties and Responsibilities
- Prepare and maintain accurate financial records
- Record daily financial transactions (income, expenses, payments, and receipts)
- Prepare monthly, quarterly, and annual financial reports
- Assist in budgeting and financial planning processes
- Ensure compliance with accounting standards, tax regulations, and company policies
- Monitor accounts payable and receivable, ensuring timely payments and collections
- Support audits by providing required documentation and reports
- Maintain proper documentation of financial transactions and records",3 days left 2026-05-072026-04-28T11:56:13.319257+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69f092d29000a07983c73a91?save=true,2026-05-03 12:11:15
40,Deputy Mechanical & Electrical (M&E) Manager,Engineering,Addis Ababa,6 years - 8 years,"Diploma or Bachelor’s Degree in Mechanical Engineering, Electrical Engineering, Water Supply & Drainage Engineering, Electro Mechanical Engineering or with related field of study with relevant work experience
Duties and Responsibilities
- Assist the M&E Manager and Project Manager in the overall management and coordination of Mechanical & Electrical works for the Olympia Project.
- Supervise and control M&E construction activities, including electrical systems, low-voltage systems, plumbing, drainage, HVAC, firefighting systems, and equipment installations.
- Resolve on-site technical and construction-related M&E issues effectively and efficiently.
- Manage M&E manpower, materials, and equipment allocation on-site.",3 days left 2026-05-072026-05-02T07:45:36.987465+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/ID9YjpsVZMavg7PJ?save=true,2026-05-03 12:11:15
